k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,1,0.60%,0.60,0.95,0.60,0.05,91.11%
2,1,0.60%,0.60,0.95,0.60,0.05,91.11%
3,1,0.60%,0.60,0.95,0.60,0.05,91.11%
4,1,0.55%,0.55,0.94,0.55,0.06,90.00%
5,1,0.55%,0.55,0.94,0.55,0.06,90.00%
6,1,0.50%,0.50,0.94,0.50,0.06,88.89%
7,1,0.45%,0.45,0.93,0.45,0.07,87.78%
8,1,0.45%,0.45,0.93,0.45,0.07,87.78%
9,1,0.45%,0.45,0.93,0.45,0.07,87.78%
10,1,0.45%,0.45,0.93,0.45,0.07,87.78%
11,1,0.50%,0.50,0.94,0.50,0.06,88.89%
12,1,0.45%,0.45,0.93,0.45,0.07,87.78%
13,1,0.40%,0.40,0.93,0.40,0.07,86.67%
14,1,0.40%,0.40,0.93,0.40,0.07,86.67%
15,1,0.40%,0.40,0.93,0.40,0.07,86.67%
